ticket_number,max_score,last_score,last_event_time,blocked
883-1-96348-1,0.12339618239188625,0.02450011877680647,2026-03-18 13:57:47,False
883-1-96350-1,0.1425447294149712,0.03714725980871508,2026-03-18 14:21:48,False
883-1-96351-1,0.6744725935975918,0.03318704748352026,2026-03-18 16:09:07,False
883-1-96352-1,0.09158658811897967,0.03310350993787296,2026-03-18 13:53:41,False
883-1-96353-1,0.08264742254744548,0.022899237249661177,2026-03-18 14:03:09,False
883-1-96354-1,0.031614549902470215,0.031614549902470215,2026-03-18 12:16:41,False
883-1-96355-1,0.031614549902470215,0.031614549902470215,2026-03-18 12:16:24,False
883-1-96356-1,0.08264742254744548,0.022899237249661177,2026-03-18 14:03:11,False
883-1-96357-1,0.031614549902470215,0.031614549902470215,2026-03-18 12:16:39,False
883-1-96358-1,0.08797730285530368,0.014052421885921823,2026-03-18 15:43:13,False
883-1-96359-1,0.07488919067664031,0.010184552003718348,2026-03-18 15:29:43,False
883-1-96360-1,0.08088825307471237,0.014035940683751332,2026-03-18 15:29:45,False
883-1-96361-1,0.07488919067664031,0.013334720741000682,2026-03-18 14:12:53,False
883-1-96362-1,0.16500745261761926,0.017423986483757984,2026-03-18 14:35:20,False
883-1-96363-1,0.0627837789044771,0.01361535036327532,2026-03-18 15:49:39,False
883-1-96367-1,0.06754657107570286,0.032763673796980135,2026-03-18 14:57:05,False
883-1-96368-1,0.06754657107570286,0.032763673796980135,2026-03-18 14:57:17,False
883-1-96369-1,0.11616010542671032,0.026606143504534826,2026-03-18 13:53:58,False
883-1-96370-1,0.09833874513234092,0.09833874513234092,2026-03-18 14:26:17,False
883-1-96371-1,0.048513762879900967,0.019819892566366928,2026-03-18 14:38:15,False
883-1-96372-1,0.048513762879900967,0.019819892566366928,2026-03-18 14:38:18,False
883-1-96373-1,0.029594404872786372,0.017516173374064487,2026-03-18 14:10:42,False
883-1-96374-1,0.029594404872786372,0.017516173374064487,2026-03-18 14:10:49,False
883-1-96378-1,0.052494165404395485,0.012812414508312034,2026-03-18 14:12:41,False
883-1-96382-1,0.0780768036187226,0.03202247209134489,2026-03-18 14:55:05,False
883-1-96385-1,0.03815215243982134,0.012384459281989188,2026-03-18 15:10:51,False
883-1-96386-1,0.051623235293605574,0.020839812384837755,2026-03-18 14:16:17,False
883-1-96387-1,0.02546758848572761,0.02546758848572761,2026-03-18 13:50:21,False
883-1-96388-1,0.02546758848572761,0.02546758848572761,2026-03-18 13:50:23,False
883-1-96389-1,0.02546758848572761,0.02546758848572761,2026-03-18 13:50:28,False
883-1-96392-1,0.05688226552859029,0.011718315079008196,2026-03-18 16:18:23,False
883-1-96393-1,0.07391115534158343,0.07391115534158343,2026-03-18 12:43:11,False
883-1-96394-1,0.07391115534158343,0.07391115534158343,2026-03-18 12:43:09,False
883-1-96395-1,0.0190234612541155,0.009646587538495071,2026-03-18 15:02:01,False
883-1-96397-1,0.12667700535494647,0.013604952340558312,2026-03-18 15:46:55,False
883-1-96398-1,0.019126931930570554,0.010800947599173551,2026-03-18 15:24:34,False
883-1-96399-1,0.12667700535494647,0.013604952340558312,2026-03-18 15:46:52,False
883-1-96403-1,0.04413103264794212,0.04413103264794212,2026-03-18 15:59:12,False
883-1-96404-1,0.046164629183944185,0.0320792073854809,2026-03-18 14:44:52,False
883-1-96405-1,0.04576558373059812,0.0320792073854809,2026-03-18 14:44:57,False
883-1-96406-1,0.046164629183944185,0.0320792073854809,2026-03-18 14:44:57,False
883-1-96408-1,0.28525062742148094,0.009072637279098968,2026-03-18 15:47:46,False
883-1-96409-1,0.05365842440969103,0.00977551631102296,2026-03-18 15:22:56,False
883-1-96410-1,0.28525062742148094,0.009072637279098968,2026-03-18 15:47:47,False
883-1-96411-1,0.0619958977774419,0.052641993239172104,2026-03-18 14:38:33,False
883-1-96412-1,0.0619958977774419,0.052641993239172104,2026-03-18 14:38:32,False
883-1-96413-1,0.047168619551359606,0.024494046441788073,2026-03-18 14:35:24,False
